OB,KODE_OBJEK,NAMA,HARGA_SATUAN
OB,5-01-KSI02-030-000-00,120-01-014 Bottom Label Eye Shadow New York - 01,1.0
OB,5-01-KSI02-033-000-00,120-05-014 Bottom Label Eyeshadow Venice,1.0
OB,5-01-GLD01-009-000-00,2000000530 Stc Barcode 995202 00284.CDI.17,1.0
OB,5-01-KSI02-028-000-00,333-00-014 Bottom Label - Every Day Skin Ligheting Moist Cream,30.6209
OB,5-01-KSI02-027-000-00,545-00-014 B/L Exclusive All Day Facial Moist Gel,1.0
OB,5-01-MSP01-021-000-00,"Accecories for Washing Machine MWM-7801, uk. 218 x 238 mm, bhn: mirrorcoat + laminating, color : CMYK, Finish : Laminating",1.0
OB,5-01-DMI01-075-000-00,"Acrylic Spandek Ukuran 15 - 17, Uk. 2.2 x 2.2 cm #72",1.0
OB,5-01-DMI01-020-000-00,"ACRYLIC SPANDEX KOTAK, UK. 27 X 27 MM (#112)",1.0
OB,5-01-GDG01-003-000-00,"ADHESIVE TAPE , LAPRINT JAYA,  TYPE : 0PE2323.35.87  PART NO OEM : 0PE2323.35.87, DRAWING NO : 0PE2323.35.87, SIZE (mm) : 35 X 87  PACKAGING : 1200 PCS/ROLL  APPLICATION : SPLACING INNER FRAME 16'S  SLIM MC : GDX6",1.0
OB,5-01-GDG01-009-000-00,ADHESIVE TAPE LAPRINT JAYA  DWG NO 24640.V00.R00  ORIGINAL PART NO : 0PE2323  SIZE ( MM ) : 35X55,47.6263
OB,5-01-GDG01-006-000-00,"ADHESIVE TAPE, Part Number : G0PE2323.35.102, Size (mm) : 35 x 102, Color : Black, DWG NO : 0PE2323.35.102",103.2079
OB,5-01-WAX01-279-000-00,Angels Candles (658-659-657) Frankincense -Myrrh,164.6011
OB,5-01-KDS01-005-000-01,"ASIN BUTTER, HITAM DAN BIRU NO. BARC. 8994093103071, UK. 2.8X3.1 CM",26.3749
OB,5-01-KDS01-00171,"ASIN BUTTER, HITAM DAN BIRU NO. BARC. 8994093103071, UK. 2.8X3.1 CM",26.3749
OB,5-01-MSP01-00227,Barcode 4in Round Alumunium pan (Ukuran Baru) 2105-0-0097 Qty = 4EA,1.0
